,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,3.7,3.7,7.4,6.8,7.1,5.4,0.1,0.0,2.2,3.6,1.5,19.8,8.1,0.2,1.8,3.4,4.6,1.5,0.7,1.2,1.1,9.1,0.6,3.9,2.9,
Lao PDR,LAO,6.1,6.1,7.2,6.2,6.7,6.4,2.6,0.0,3.8,6.9,3.3,10.8,9.0,2.3,2.9,4.7,9.2,3.2,7.5,3.6,4.8,9.4,1.4,6.2,4.7,
Latvia,LVA,x,x,4.0,3.6,3.8,3.8,0.0,0.0,0.9,4.3,1.3,90.0,1.0,0.8,0.2,0.7,1.6,0.7,2.2,2.0,1.6,0.0,0.2,0.9,1.0,
Lebanon,LBN,4.7,4.7,7.6,7.9,7.8,6.3,2.6,0.0,1.3,6.3,2.6,107.5,0.0,0.1,1.5,0.5,3.5,5.4,6.8,4.9,5.7,8.4,0.2,4.5,2.5,
Lesotho,LSO,8.4,8.4,6.1,6.8,6.5,7.5,3.6,5.0,5.2,6.8,5.2,18.1,8.3,5.5,5.2,6.3,8.9,2.0,4.1,2.0,2.7,9.3,6.3,6.8,6.1,
Liberia,LBR,x,x,7.5,7.9,7.7,7.7,8.4,6.8,6.6,8.6,7.6,9.0,9.2,8.6,4.9,7.6,9.9,3.6,6.8,4.2,4.9,9.3,7.2,7.8,7.7,
Libya,LBY,x,x,8.2,8.5,8.4,8.4,x,3.0,8.2,0.0,3.7,3.5,9.7,0.9,0.0,3.5,4.6,4.4,4.6,4.4,4.5,x,0.8,3.3,3.5,
Liechtenstein,LIE,x,x,x,2.0,2.0,2.0,x,0.0,0.4,3.8,1.4,687.5,0.0,0.0,0.0,0.0,x,x,x,x,x,x,x,x,0.7,
Lithuania,LTU,x,x,3.9,3.0,3.5,3.5,0.0,0.0,1.2,3.1,1.1,140.4,0.0,0.5,0.4,0.3,0.0,1.5,2.0,3.1,2.2,0.0,0.1,0.6,0.7,
Luxembourg,LUX,x,x,2.2,1.5,1.9,1.9,x,0.0,0.2,3.2,1.1,540.5,0.0,0.3,0.0,0.1,2.5,0.0,1.5,0.5,0.7,0.0,0.1,0.8,0.7,
Madagascar,MDG,4.7,4.7,7.5,7.0,7.3,6.0,4.4,6.4,8.0,6.7,6.4,7.9,9.3,9.5,9.3,9.4,9.5,7.1,10.0,7.1,8.1,10.0,4.4,8.0,7.9,
Malawi,MWI,4.0,4.0,6.6,6.7,6.7,5.4,5.9,8.6,7.6,7.2,7.3,19.1,8.2,5.6,5.6,6.5,9.9,2.2,6.6,2.0,3.6,9.8,4.2,6.9,6.9,
Malaysia,MYS,2.6,2.6,5.0,3.0,4.0,3.3,x,0.0,0.3,3.0,1.1,21.0,8.0,0.4,0.6,3.0,4.4,0.3,0.5,7.1,2.6,5.9,0.2,3.3,2.5,
Maldives,MDV,5.8,5.8,6.1,5.3,5.7,5.8,0.5,0.0,1.4,3.3,1.3,226.7,0.0,0.0,0.1,0.0,4.6,0.0,0.2,x,0.1,3.2,0.6,2.1,1.1,
Mali,MLI,4.9,4.9,7.2,7.4,7.3,6.1,9.9,4.7,6.6,4.4,6.4,9.0,9.2,5.5,3.3,6.0,9.7,3.7,9.3,3.7,5.6,9.8,4.9,7.5,6.6,
Malta,MLT,x,x,4.9,3.4,4.2,4.2,1.1,0.0,0.8,3.5,1.4,843.8,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.3,0.0,0.0,0.1,0.5,
Marshall Islands,MHL,7.3,7.3,x,4.5,4.5,5.9,0.4,0.0,6.1,8.3,3.7,144.4,0.0,2.1,3.0,1.7,8.9,2.2,7.6,10.0,6.6,7.9,x,7.8,4.4,
Mauritania,MRT,4.8,4.8,7.0,6.4,6.7,5.8,6.1,5.1,4.1,4.5,5.0,1.5,10.0,4.9,4.4,6.4,9.5,3.9,x,4.4,4.2,9.4,5.2,7.1,6.2,
Mauritius,MUS,3.2,3.2,4.9,3.5,4.2,3.7,1.7,0.0,3.2,2.0,1.7,137.9,0.0,0.5,0.0,0.2,3.4,0.7,1.0,0.3,0.7,5.3,0.9,2.6,1.5,
Mexico,MEX,5.1,5.1,6.9,5.6,6.3,5.7,1.0,0.0,2.4,5.1,2.1,18.5,8.2,0.8,0.1,3.0,3.9,2.7,2.9,2.5,2.7,6.1,0.7,3.4,2.8,
Micronesia,FSM,6.0,6.0,x,4.2,4.2,5.1,x,1.5,6.0,9.3,5.6,54.3,4.6,1.1,2.0,2.6,7.6,5.1,10.0,5.8,7.0,9.0,0.8,6.1,4.8,
Moldova Republic of,MDA,6.2,6.2,5.8,5.6,5.7,6.0,0.1,0.0,3.9,3.7,1.9,127.8,0.0,1.7,1.6,1.1,0.0,1.9,1.0,3.4,2.1,6.1,0.1,2.1,1.7,
Mongolia,MNG,5.1,5.1,6.7,5.8,6.3,5.7,0.2,0.0,1.8,3.0,1.3,4.2,9.7,3.3,3.3,5.4,0.4,0.7,1.0,0.8,0.8,7.2,0.4,2.2,3.0,
Montenegro,MNE,4.0,4.0,5.4,5.1,5.3,4.7,0.2,0.0,1.2,0.0,0.4,81.8,1.8,0.2,0.2,0.7,3.1,3.2,4.9,x,4.1,1.9,0.1,2.3,1.1,
Morocco,MAR,5.6,5.6,6.2,5.3,5.8,5.7,4.4,0.0,1.2,3.2,2.2,29.1,7.2,1.4,2.6,3.7,8.2,0.0,0.0,0.2,0.1,8.4,0.8,4.4,3.4,
Mozambique,MOZ,2.1,2.1,7.5,6.4,7.0,4.6,7.1,6.7,8.3,8.1,7.6,5.2,9.6,7.0,7.4,8.0,9.8,6.4,4.9,4.9,5.4,9.8,1.4,6.6,7.4,
Myanmar,MMR,7.1,7.1,8.0,8.4,8.2,7.7,2.3,2.6,5.6,4.8,3.8,7.2,9.4,2.9,3.5,5.3,8.1,4.7,5.9,7.1,5.9,9.3,2.0,6.3,5.1,
Namibia,NAM,4.3,4.3,5.1,4.9,5.0,4.7,1.6,4.4,4.7,4.5,3.8,7.0,9.4,7.1,2.8,6.4,8.5,2.5,3.4,2.4,2.8,7.0,2.4,5.2,5.1,
Nauru,NRU,8.1,8.1,x,4.6,4.6,6.4,x,0.0,1.6,6.2,2.6,219.0,0.0,3.8,0.0,1.3,6.9,0.2,0.3,6.8,2.4,3.8,x,4.4,2.8,
Nepal,NPL,5.4,5.4,6.5,6.8,6.7,6.1,5.4,0.9,4.8,3.7,3.7,15.3,8.6,2.2,1.8,4.2,7.8,1.5,2.0,2.7,2.1,9.4,1.9,5.3,4.4,
Netherlands,NLD,1.7,1.7,2.1,1.8,2.0,1.9,x,0.0,0.7,4.2,1.6,622.6,0.0,0.3,0.0,0.1,0.4,0.8,1.7,1.0,1.2,0.0,0.0,0.4,0.7,
New Zealand,NZL,2.6,2.6,1.5,2.3,1.9,2.3,x,0.0,0.4,4.4,1.6,41.8,5.9,0.0,0.0,2.0,1.2,1.7,2.7,2.2,2.2,0.0,0.1,0.9,1.5,
Nicaragua,NIC,4.7,4.7,8.3,7.1,7.7,6.2,3.5,1.4,4.3,5.3,3.6,15.0,8.6,3.0,3.7,5.1,8.3,1.2,0.0,1.2,0.8,8.1,0.9,4.5,4.4,
Niger,NER,5.2,5.2,6.8,6.3,6.6,5.9,9.4,8.1,7.8,7.4,8.2,3.9,9.7,9.3,10.0,9.7,9.9,2.5,9.7,2.5,4.9,9.9,4.9,7.4,8.4,
Nigeria,NGA,2.7,2.7,7.5,7.1,7.3,5.0,6.8,4.0,4.5,5.0,5.1,10.8,9.0,5.9,4.1,6.3,9.0,6.3,10.0,6.6,7.6,9.4,10.0,9.0,6.8,
North Macedonia,MKD,3.8,3.8,5.8,5.2,5.5,4.7,0.5,0.0,1.7,5.2,1.9,55.5,4.5,0.1,0.4,1.7,2.9,2.5,1.7,7.3,3.8,5.0,0.0,2.9,2.2,
Norway,NOR,2.3,2.3,1.6,1.1,1.4,1.9,x,0.0,0.1,4.6,1.6,46.0,5.5,0.2,0.0,1.9,0.0,0.3,0.8,0.7,0.6,0.0,0.0,0.2,1.2,
Oman,OMN,x,x,5.7,5.0,5.4,5.4,0.6,0.0,0.4,3.3,1.1,13.6,8.7,0.1,1.5,3.4,5.0,0.0,0.2,0.3,0.2,4.6,0.2,2.5,2.3,
Pakistan,PAK,4.0,4.0,7.1,6.2,6.7,5.4,7.3,0.5,7.9,6.1,5.5,13.0,8.8,3.3,1.9,4.7,7.3,2.4,3.4,2.4,2.7,9.6,1.7,5.3,5.2,
Palau,PLW,5.9,5.9,x,4.1,4.1,5.0,0.7,0.0,x,3.4,1.4,60.9,4.0,0.1,0.1,1.4,5.6,0.8,2.4,2.9,2.0,1.5,x,3.0,1.9,
Palestine,PSE,5.7,5.7,x,6.8,6.8,6.3,0.5,0.0,1.1,6.3,2.0,282.4,0.0,0.1,0.3,0.1,4.6,0.2,1.0,0.0,0.4,x,0.2,1.7,1.3,
Panama,PAN,4.3,4.3,6.5,5.3,5.9,5.1,0.9,0.5,3.2,2.2,1.7,16.1,8.5,1.6,1.1,3.7,5.9,2.0,4.1,2.0,2.7,0.0,0.6,2.3,2.6,
Papua New Guinea,PNG,6.7,6.7,7.1,6.6,6.9,6.8,x,8.1,6.8,7.8,7.6,3.1,9.8,9.0,10.0,9.6,9.8,10.0,10.0,10.0,10.0,9.9,2.1,8.0,8.4,
Paraguay,PRY,3.7,3.7,7.2,6.2,6.7,5.2,1.2,0.0,2.4,3.7,1.8,18.6,8.2,0.6,0.1,3.0,1.9,5.1,7.8,4.2,5.7,6.0,0.8,3.6,2.8,
Peru,PER,3.6,3.6,6.7,5.8,6.3,5.0,1.2,0.4,2.5,4.0,2.0,6.6,9.4,2.4,1.0,4.3,5.9,2.9,7.6,4.7,5.1,7.3,0.8,4.8,3.7,
Philippines,PHL,3.5,3.5,6.6,4.9,5.8,4.7,0.3,0.5,4.7,2.9,2.1,50.3,5.0,1.7,1.0,2.6,8.0,4.6,5.9,4.7,5.1,8.4,0.9,5.6,3.4,
Poland,POL,4.3,4.3,4.6,4.5,4.6,4.5,0.0,0.0,1.3,3.5,1.2,200.6,0.0,0.1,1.9,0.7,0.7,1.5,0.7,6.4,2.9,0.3,0.0,1.0,1.0,
Portugal,PRT,2.6,2.6,3.9,3.0,3.5,3.1,0.7,0.0,1.6,3.9,1.6,174.9,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.2,0.2,0.0,0.1,0.1,0.6,
Qatar,QAT,4.7,4.7,4.2,2.7,3.5,4.1,0.5,0.0,0.0,1.3,0.5,94.7,0.5,0.0,0.0,0.2,3.8,0.2,0.0,0.3,0.2,0.2,0.1,1.1,0.6,
Romania,ROU,3.8,3.8,5.4,5.0,5.2,4.5,0.2,0.0,1.4,4.2,1.5,86.9,1.3,1.3,0.0,0.9,2.6,2.4,4.7,2.4,3.2,2.2,0.1,2.0,1.5,
Russian Federation,RUS,x,x,7.4,6.4,6.9,6.9,0.0,0.0,1.0,1.6,0.7,11.6,8.9,1.2,0.6,3.6,0.4,0.3,0.3,1.2,0.6,1.6,0.2,0.7,1.7,
Rwanda,RWA,3.0,3.0,4.7,4.5,4.6,3.8,4.2,4.9,7.0,6.2,5.6,32.8,6.8,2.9,7.0,5.6,9.7,0.2,2.9,0.2,1.1,9.6,2.9,5.8,5.7,
Saint Kitts and Nevis,KNA,4.0,4.0,x,4.2,4.2,4.1,x,0.0,2.1,4.1,2.1,165.4,0.0,0.6,0.3,0.3,2.4,0.5,1.0,x,0.8,4.1,x,2.4,1.6,
Saint Lucia,LCA,5.2,5.2,4.5,5.2,4.9,5.1,x,0.0,2.2,5.4,2.5,113.1,0.0,1.8,0.6,0.8,8.4,3.1,6.1,x,4.6,7.2,0.8,5.3,2.9,
Saint Vincent and the Grenadines,VCT,x,x,4.0,4.4,4.2,4.2,x,0.0,1.5,5.1,2.2,105.1,0.0,1.1,0.5,0.5,7.6,1.2,0.8,x,1.0,7.5,0.7,4.2,2.3,
Samoa,WSM,4.6,4.6,x,4.4,4.4,4.5,0.2,0.2,2.2,7.2,2.5,56.5,4.4,0.2,0.2,1.6,8.6,3.9,9.2,10.0,7.7,8.8,0.7,6.5,3.5,
Sao Tome and Principe,STP,x,x,5.5,6.7,6.1,6.1,1.3,2.2,4.9,5.8,3.6,66.7,3.4,5.8,4.5,4.6,8.8,0.3,5.1,0.3,1.9,9.0,1.6,5.3,4.5,
Saudi Arabia,SAU,x,x,4.8,3.8,4.3,4.3,0.5,0.0,0.0,3.5,1.0,6.0,9.5,0.5,0.3,3.4,3.0,0.2,0.2,0.2,0.2,0.0,0.2,0.9,1.8,
Senegal,SEN,4.7,4.7,5.7,5.0,5.4,5.1,7.3,3.2,4.2,4.1,4.7,11.9,8.9,4.4,2.8,5.4,9.8,1.9,5.6,1.9,3.1,9.6,2.9,6.4,5.5,
Serbia,SRB,4.9,4.9,6.4,4.9,5.7,5.3,0.1,0.0,1.6,3.9,1.4,75.5,2.5,0.2,0.9,1.2,0.8,1.2,1.7,1.7,1.5,2.9,0.1,1.3,1.3,
Seychelles,SYC,4.3,4.3,2.9,3.7,3.3,3.8,0.8,0.0,1.8,0.4,0.8,82.6,1.8,0.0,0.7,0.8,4.7,0.3,0.2,0.3,0.3,4.9,0.0,2.5,1.4,
Sierra Leone,SLE,3.5,3.5,6.5,7.3,6.9,5.2,8.4,7.1,8.2,5.2,7.2,20.9,8.0,8.6,6.9,7.8,9.8,1.4,4.4,1.0,2.3,9.7,4.9,6.7,7.2,
Singapore,SGP,1.2,1.2,1.7,0.7,1.2,1.2,0.5,0.0,0.4,2.2,0.8,800.0,0.0,0.0,0.0,0.0,3.9,0.3,1.2,1.5,1.0,0.0,0.1,1.3,0.7,
Slovakia,SVK,3.4,3.4,4.6,4.2,4.4,3.9,x,0.0,1.1,3.5,1.5,174.7,0.0,0.3,0.0,0.1,0.0,0.3,0.5,0.5,0.4,1.1,0.1,0.4,0.7,
Slovenia,SVN,0.9,0.9,4.4,2.9,3.7,2.3,x,0.0,1.1,3.8,1.6,178.7,0.0,0.2,0.1,0.1,1.8,1.7,1.2,6.4,3.1,0.0,0.1,1.3,1.0,
Solomon Islands,SLB,6.6,6.6,5.7,6.3,6.0,6.3,x,2.4,6.4,6.8,5.2,3.6,9.7,7.2,6.5,7.8,9.5,1.7,1.5,1.7,1.6,9.8,1.4,5.6,6.2,
Somalia,SOM,x,x,8.9,9.1,9.0,9.0,9.1,5.1,9.8,7.7,7.9,30.3,7.0,6.6,8.3,7.3,9.9,9.7,10.0,x,9.9,x,6.9,8.9,8.0,
South Africa,ZAF,3.9,3.9,5.9,5.3,5.6,4.8,2.1,1.4,2.8,1.7,2.0,24.7,7.6,2.5,1.1,3.7,8.0,2.4,2.0,1.7,2.0,6.1,1.4,4.4,3.4,
South Sudan,SSD,x,x,8.7,9.8,9.3,9.3,9.7,9.2,9.4,8.7,9.3,6.1,9.5,9.3,10.0,9.6,9.9,4.4,x,x,4.4,10.0,10.0,8.6,9.2,
Spain,ESP,2.2,2.2,4.0,3.2,3.6,2.9,0.3,0.0,0.6,3.9,1.2,144.3,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,1.1,0.0,0.0,0.3,0.5,
Sri Lanka,LKA,3.6,3.6,6.6,5.8,6.2,4.9,1.6,0.0,5.6,2.9,2.5,41.5,5.9,0.5,2.1,2.8,7.0,0.2,0.2,x,0.2,8.1,0.3,3.9,3.1,
Sudan,SDN,4.9,4.9,8.0,8.4,8.2,6.6,6.9,3.7,7.2,6.5,6.1,2.1,9.9,7.0,7.0,8.0,9.3,2.5,6.1,2.4,3.7,9.7,3.0,6.4,6.8,
Suriname,SUR,x,x,6.0,6.9,6.5,6.5,1.1,0.1,3.4,2.5,1.8,4.4,9.7,1.1,0.4,3.7,8.0,3.7,8.1,x,5.9,7.0,1.1,5.5,3.7,
Sweden,SWE,2.5,2.5,1.8,1.9,1.9,2.2,x,0.0,0.5,3.8,1.4,73.1,2.7,0.1,0.1,1.0,0.0,0.8,1.4,0.8,1.0,0.0,0.1,0.3,0.9,
Switzerland,CHE,0.9,0.9,1.8,0.9,1.4,1.2,x,0.0,0.4,4.1,1.5,400.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,1.7,1.0,0.0,0.1,0.3,0.6,
Syria,SYR,4.6,4.6,8.7,8.5,8.6,6.6,1.2,1.1,6.4,6.2,3.7,35.4,6.5,0.6,1.2,2.8,7.0,9.0,10.0,x,9.5,x,0.3,5.6,4.0,
Tajikistan,TJK,4.6,4.6,8.0,6.5,7.3,6.0,x,0.0,7.8,4.2,4.0,10.0,9.1,0.4,3.6,4.4,5.7,0.3,0.3,x,0.3,9.0,0.2,3.8,4.1,
Tanzania,TZA,3.5,3.5,6.0,5.9,6.0,4.8,3.6,5.4,6.8,5.5,5.3,8.1,9.3,7.7,7.8,8.3,9.9,1.9,3.9,2.7,2.8,9.8,2.6,6.3,6.6,
Thailand,THA,4.7,4.7,6.5,4.7,5.6,5.2,1.3,0.0,1.2,1.2,0.9,45.0,5.6,0.1,0.0,1.9,7.7,0.3,2.0,x,1.2,6.9,0.3,4.0,2.3,
Timor-Leste,TLS,6.3,6.3,5.7,6.5,6.1,6.2,5.6,0.0,6.1,4.6,4.1,19.5,8.1,4.6,2.6,5.1,8.1,2.2,3.6,x,2.9,9.2,2.3,5.6,4.9,
Togo,TGO,9.2,9.2,6.9,6.3,6.6,7.9,6.1,4.3,6.5,6.5,5.9,23.9,7.7,9.0,5.8,7.5,9.9,2.9,7.1,2.9,4.3,9.7,4.4,7.1,6.8,
Tonga,TON,5.8,5.8,x,5.3,5.3,5.6,0.1,0.0,2.8,7.1,2.5,100.0,0.0,0.5,0.2,0.2,7.5,0.0,0.0,5.4,1.8,8.7,1.4,4.9,2.5,
Trinidad and Tobago,TTO,4.4,4.4,5.8,5.1,5.5,5.0,x,0.0,2.1,3.6,1.9,173.5,0.0,0.7,0.2,0.3,1.5,1.0,1.2,1.0,1.1,4.1,0.3,1.7,1.3,
Tunisia,TUN,6.4,6.4,6.0,5.6,5.8,6.1,3.9,0.0,2.1,3.6,2.4,35.4,6.5,0.3,0.6,2.5,6.8,0.3,0.2,0.2,0.2,7.5,0.4,3.7,2.9,
Türkiye,TUR,2.1,2.1,6.6,5.4,6.0,4.1,0.7,0.0,1.7,4.8,1.8,52.0,4.9,0.1,0.6,1.9,4.9,0.0,1.9,0.3,0.7,5.5,0.2,2.8,2.2,
Turkmenistan,TKM,x,x,8.2,7.3,7.8,7.8,x,0.0,7.9,5.2,4.4,4.3,9.7,0.0,0.0,3.2,4.6,0.2,0.0,0.2,0.1,6.9,0.1,2.9,3.5,
Tuvalu,TUV,x,x,x,5.6,5.6,5.6,x,0.0,2.8,6.1,3.0,156.7,0.0,1.8,0.1,0.6,6.8,1.4,1.7,2.7,1.9,6.7,x,5.1,2.9,
Uganda,UGA,x,x,7.4,6.2,6.8,6.8,3.9,5.3,9.0,6.7,6.2,23.0,7.8,8.8,8.1,8.2,9.6,1.7,8.5,1.5,3.9,9.8,3.2,6.6,7.0,
Ukraine,UKR,x,x,6.4,6.0,6.2,6.2,0.0,0.0,2.1,3.3,1.4,74.2,2.6,0.3,1.3,1.4,2.5,4.4,5.1,x,4.8,6.5,0.2,3.5,2.1,
United Arab Emirates,ARE,2.1,2.1,3.2,2.4,2.8,2.5,0.4,0.0,0.0,0.0,0.1,47.8,5.3,0.1,0.0,1.8,2.8,0.5,1.4,0.7,0.9,0.0,0.1,0.9,0.9,
United Kingdom,GBR,2.1,2.1,2.9,2.5,2.7,2.4,x,0.0,0.3,4.1,1.5,268.7,0.0,0.1,0.0,0.0,2.1,1.2,2.0,1.5,1.6,0.0,0.1,0.9,0.8,
United States of America,USA,3.0,3.0,3.1,2.5,2.8,2.9,x,0.0,0.8,4.6,1.8,72.2,2.8,0.0,0.0,0.9,1.1,0.8,0.7,2.5,1.3,0.0,0.2,0.7,1.1,
Uruguay,URY,4.0,4.0,2.7,3.3,3.0,3.5,0.3,0.0,1.0,3.2,1.1,33.1,6.8,0.2,0.1,2.4,0.0,0.8,1.2,0.8,0.9,2.2,0.2,0.8,1.4,
Uzbekistan,UZB,2.6,2.6,6.7,5.7,6.2,4.4,0.0,0.0,2.3,5.0,1.8,19.0,8.2,0.4,0.7,3.1,4.1,0.0,0.0,0.0,0.0,7.9,0.3,3.1,2.7,
Vanuatu,VUT,5.4,5.4,5.2,6.1,5.7,5.6,2.3,3.0,3.4,6.2,3.7,8.2,9.3,5.9,1.7,5.6,9.6,5.3,x,9.7,7.5,9.7,1.0,7.0,5.4,
Venezuela,VEN,2.5,2.5,8.7,8.4,8.6,5.6,0.5,0.0,3.8,7.0,2.8,7.9,9.3,0.2,1.3,3.6,5.8,7.3,10.0,10.0,9.1,9.8,2.9,6.9,4.4,
Viet Nam,VNM,4.2,4.2,5.9,4.6,5.3,4.8,0.8,0.0,2.1,3.1,1.5,24.8,7.6,0.9,0.4,3.0,7.9,1.4,3.1,x,2.3,8.4,0.5,4.8,3.1,
Yemen,YEM,8.5,8.5,8.4,9.5,9.0,8.8,x,2.4,7.3,7.9,5.9,4.2,9.7,5.0,7.6,7.4,9.3,4.2,7.3,4.2,5.2,9.8,2.0,6.6,6.6,
Zambia,ZMB,3.5,3.5,6.3,6.3,6.3,4.9,2.6,5.2,7.9,5.2,5.2,4.2,9.7,7.1,6.4,7.7,9.3,2.9,3.1,3.6,3.2,9.4,1.5,5.9,6.3,
Zimbabwe,ZWE,2.6,2.6,7.6,7.5,7.6,5.1,2.1,5.0,6.5,5.8,4.9,12.7,8.8,7.3,7.5,7.9,9.5,1.5,3.7,1.5,2.2,10.0,4.0,6.4,6.4,