Year (2020-2099),month,"Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Precipitation 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1"
2034,JUL,30,27.43,28.76,27.13,36.88,34.66,35.38,34.13,1.82,0.29,1.25,0.86
2034,AUG,29.68,28.84,29.96,28.7,36.48,35.63,36.13,35.09,2.09,1.74,5.7,6.03
2034,SEP,25.15,22.81,25.05,25.33,31.38,28.08,31.05,31.1,5.99,26.5,10.24,17.02
2034,OCT,21.55,19.75,20.98,22.22,27.11,24.76,26.83,27.81,27.31,31.56,8.78,6.91
2034,NOV,14.01,16.11,14.98,16.22,18.03,21.4,19.9,22.12,76.67,18.42,49.87,2.67
2034,DEC,12.16,11.6,12.86,11.43,17.63,16.22,17.67,16.7,5.78,66.03,37.33,16.22
2035,JAN,10,12.42,11.95,10.87,14.9,18.46,17.92,16.44,26.04,11.93,3.59,5.54
2035,FEB,13.04,12.22,14.18,11.98,18.67,17.32,20.48,17.68,4.61,39.36,7.86,4.97
2035,MAR,16.16,14.52,16.89,14.7,22.44,20.1,22.48,20.76,11.5,29.06,65.31,23.62
2035,APR,17.87,19.41,18.36,18.33,23.43,25.69,23.71,24.62,23.79,20.06,41.73,10.18
2035,MAY,20.76,18.65,22.22,21.1,26.3,24.35,28.37,27.09,38.6,32.9,11.89,19.38
2035,JUN,25.77,23.19,26.73,26.29,32.21,29.28,33.24,32.92,6.05,8,5.25,8.88
2035,JUL,29.02,28.69,29.66,28.31,35.85,35.6,36.36,34.88,2.1,0.9,1.71,4.41
2035,AUG,29.01,29.26,29.31,28.87,35.55,36.1,36,35.45,2.15,0.94,2.3,2.64
2035,SEP,24.7,25.49,25.42,25.13,30.51,31.97,31.33,31.23,13,3.77,25.1,8.24
2035,OCT,19.12,21.44,20.03,20.97,23.83,26.08,25.1,26.23,68.26,94.13,40.61,28.78
2035,NOV,14.44,15.6,15.78,16.09,19.7,19.98,20.16,21.32,7.29,59.24,75.06,38.76
2035,DEC,11.42,11.18,13.67,11.21,15.8,15.19,19.08,16.36,51,67.55,13.78,19.08
2036,JAN,10.12,9.93,12.61,11.96,14.56,14.64,17.68,17.86,55.53,35.79,50,6.54
2036,FEB,13.07,12.99,12.58,10.67,18.5,18.88,18.05,15.36,28.27,6.25,12.71,44.79
2036,MAR,16.09,14.31,15.76,13.66,22.12,19.65,21.36,19.33,7.56,36.08,9.6,30.52
2036,APR,17.32,19.43,18.34,17.56,23.11,25.65,24.31,23.62,50.31,14.48,20.05,12.76
2036,MAY,21.59,20.24,19.74,19.17,27.53,26.27,25.32,25.23,16.69,17.72,39.14,16.99
2036,JUN,24.51,24.78,24.97,26.97,30.92,31.31,31.38,33.77,2.66,3.56,6.46,4.09
2036,JUL,29.14,29,28.79,28.01,35.87,35.78,35.89,34.88,2.32,2.77,0.3,1.16
2036,AUG,28.83,28.27,28.5,27.95,35.4,35.05,35.32,34.95,1.9,1.21,1.18,0.77
2036,SEP,25.34,25.53,25.83,25.72,31.11,31.33,32.01,31.85,10.05,21.45,6.8,5.84
2036,OCT,21.86,22.44,20.54,20.41,27.65,27.89,25.46,26.11,24.21,29.22,59.78,14.49
2036,NOV,16.47,15.9,14.95,17.49,21.54,21.11,19.76,22.39,28.34,17.28,23.39,62.31
2036,DEC,13.7,14.59,12.59,11.71,19.3,19.76,18.01,16.27,13.55,13.71,16.74,30.03
2037,JAN,11.32,13.05,12.76,11.08,17.04,17.49,18.39,16.11,7.52,87.1,16.73,29.16
2037,FEB,12.52,11.6,11.5,12.25,17.71,16.48,17.2,17.82,29.87,28.36,4.12,8.47
2037,MAR,18.91,13.45,14.88,14.15,25.28,17.89,20.31,19.61,15.58,90,42.45,27.28
2037,APR,19.31,17.44,17.46,19.6,25.31,23.22,23.51,25.91,15.76,10.21,8.79,15.24
2037,MAY,22.65,23.04,20.68,21.03,29.2,28.72,26.59,26.99,3.56,15.66,15.34,26.56
2037,JUN,26.16,25.37,27.1,26.38,32.79,31.36,33.77,33.18,7.57,22.8,6.14,2.89
2037,JUL,29.87,29.44,29.16,29.73,37.02,36.03,35.53,36.55,0.62,2.1,3.63,3.14
2037,AUG,28.43,29.01,29,28.36,35.3,35.29,35.21,35.15,0.94,3.5,9.09,1.71
2037,SEP,27.17,27.79,26.2,24.83,33.49,33.81,32.12,30.97,10.42,10.73,14.1,6.11
2037,OCT,21.85,20.26,21.43,21.69,26.91,25.53,26.55,27.26,47.99,26.27,27.2,16.33
2037,NOV,16.02,18.09,17.85,15.84,20.8,24.36,23.39,21.22,38.38,2.88,11.27,12.63
2037,DEC,12.43,10.55,11.12,10.23,17.29,14.79,15.6,14.74,30.95,48.74,36.41,31.1
2038,JAN,10.12,10.25,11.07,12.77,15.43,15.47,16.55,17.99,10.11,11.38,11.57,39.76
2038,FEB,13.17,11.58,14.6,12.92,18.99,16.07,19.53,18.64,14.05,66.01,70.02,15.94
2038,MAR,15.05,17.38,16.55,12.37,20.85,23.36,21.99,17.48,29.19,23.7,47.54,40.89
2038,APR,19.07,20.93,18.54,20.54,25.39,27.05,23.97,26.91,11.1,16.93,37.69,22.93
2038,MAY,19.76,23.35,21.61,19.99,25.32,29.39,27.69,25.78,47.21,16.12,23.38,18.44
2038,JUN,25.17,26.25,26.35,27.69,31.6,32.8,32.53,34.2,5.45,5.56,7.69,13.12
2038,JUL,29.41,29.74,29.53,30,36.47,36.75,36.29,36.76,1.23,0.86,1.9,2.18
2038,AUG,28.95,28.88,29.32,29.18,35.91,35.27,36.15,35.83,1.16,5.48,1.15,2.94
2038,SEP,24.42,25.01,25.76,26.06,30.41,30.64,31.66,32.19,10.97,19.41,3.46,7.09
2038,OCT,22.22,21.14,21.67,22.45,27.16,26.29,26.85,27.93,41.73,22.52,18.54,31.95
2038,NOV,19.27,15.4,16.45,16.86,25,20.6,21.95,23.01,17.91,18.17,21.73,8.84
2038,DEC,14.03,12.91,12.84,11.19,20.03,17.86,18.2,16.42,3.46,47.74,19.6,17.39
2039,JAN,10.47,12.91,12.84,10.28,16.11,18.3,18.9,15.28,3.41,43.11,17.98,41.62
2039,FEB,12.66,9.3,14.28,10.62,18.47,13.28,20.35,15.45,13.36,52.65,18.74,41.3
2039,MAR,17.41,15.22,16.9,11.95,23.69,20.8,22.73,16.86,6.16,19,32.11,63.25
2039,APR,16.7,16.52,17.22,18.92,22.22,22.33,22.61,25.14,33.2,20.9,83.09,11.59
2039,MAY,21.67,18.48,24.25,19.35,28.04,24.02,30.39,24.96,9.02,23.98,18.23,43.55
2039,JUN,24.95,25.11,26.19,24.6,31.57,31.44,32.49,31.01,3.32,12.85,8.68,9.87
2039,JUL,29.7,29.31,30.46,28.43,37.03,35.92,37.14,35.15,0.89,1.46,2.36,1.1
2039,AUG,28.93,28.92,29.56,29.45,35.71,35.72,36.25,35.99,2.53,2.7,1.13,3.44
2039,SEP,26.05,25.54,26.07,25.95,31.57,31.57,32.47,32.02,22.91,4.77,1.69,11.22
2039,OCT,21.45,18.95,21.56,21.57,26.98,24.26,27.21,26.4,23.12,24.31,25.43,65.5
2039,NOV,17.21,16.59,16.35,15.15,23.34,21.9,21.18,19.78,6.49,31.36,38.48,56.34
2039,DEC,13.7,13.33,13.37,11.56,18.2,18.37,18.03,16.6,69.02,51.67,42.17,11.21
2040,JAN,11.43,14.26,14.31,10.22,16,20.46,19.66,15.3,64.78,13.6,47.26,35
2040,FEB,13.02,14.5,13.05,12.7,18.9,19.26,18.22,17.32,10.24,88.67,39.69,55.64
2040,MAR,14.74,12.64,16.64,14.48,19.86,17.23,22.12,19.53,47.64,62.04,37.06,90.5
2040,APR,18.08,18.21,22.01,18.48,23.87,23.97,28.32,24.6,30.02,28.74,20.65,17.38
2040,MAY,18.71,21.75,21.21,20.7,24.33,27.59,26.92,26.57,23.73,33.14,26.18,12.71
2040,JUN,24.48,23.59,25.71,23.37,30.84,29.44,31.91,29.13,4.3,7.17,10.74,18.37
2040,JUL,30.25,30.05,29.98,30.09,37.06,37.13,36.58,36.67,1.23,0.7,3.55,1.95
2040,AUG,29.52,30.02,29.28,29.69,36.15,36.5,35.88,36.33,2.17,3.71,4.45,1.43
2040,SEP,26.86,26.27,26.28,25.28,33.04,32.31,31.59,31.35,5.62,8.24,31.46,14.77
2040,OCT,21.34,21.25,21.39,22.78,26.14,26.49,26.53,28.25,44.73,22.07,18.82,12.45
2040,NOV,18.9,17.52,19.38,16.28,24.62,22.13,24.38,21.46,8.43,52.63,39.66,54.53
2040,DEC,13.54,13.91,15.93,11.75,18.6,19.34,21.85,16.14,31.36,12.63,6.54,70.66
2041,JAN,14.1,12.96,14.01,10.78,18.79,18.89,19.39,15.74,64.18,12.14,23.24,35.73
2041,FEB,15.77,14.84,16.16,12.14,21.7,20.41,21.72,17.21,6.6,27.1,23.28,33.4
2041,MAR,15.83,18.29,13.11,15.37,21.74,24.85,18.14,21,25.01,9.3,57.05,9.07
2041,APR,22.66,20.5,15.91,18.35,28.65,27.05,21.32,24.65,31.69,4.56,38.54,11.07
2041,MAY,20.61,22.8,24.09,21.38,26.02,28.96,30.28,27.52,37,8.63,11.51,10.2
2041,JUN,25.88,22.53,27.08,25.68,32.09,28.18,33.86,32.19,5.05,28.09,2.1,4.71
2041,JUL,28.19,29.87,28.56,29.04,34.84,36.71,35.32,36.15,0.9,1.34,1.51,1.61
2041,AUG,30.56,29.69,28.26,28.62,37.1,36.51,34.94,35.12,2.47,1.21,1.38,2.02
2041,SEP,27.03,26.54,26.37,26.49,33.11,32.13,32.67,32.45,5.98,27.25,3.34,4.82
2041,OCT,23.39,20.49,21.92,22.52,29.37,25.37,27.17,28.26,6.45,38.24,31.31,21.79
2041,NOV,17.29,15.41,16.76,18.25,22.21,20.39,22,24.18,32,21.09,24.71,1.37
2041,DEC,12.59,13.03,12,11.21,17.94,18.37,16.65,15.38,5.31,26.49,69.5,65.89
2042,JAN,9.9,13.69,11.29,11.22,14.77,19.96,15.96,16.63,28.47,4.05,54.8,13.83
2042,FEB,12.37,13.01,13.44,12.11,18.3,18.18,18.5,17.35,3.85,39.52,39.45,39.87
2042,MAR,16.7,16.63,18.41,13.75,22.85,22.27,23.9,19.04,17.4,42.43,34.17,35.87
2042,APR,18.83,17.81,19.53,17.37,24.76,23.77,25.58,23.24,29.4,24.33,26.41,35.02
2042,MAY,18.23,24.8,23.05,20.82,23.72,31.42,29.26,26.61,33.8,3.98,14.19,33.26
2042,JUN,24.42,25.06,26.83,23.97,30.91,31.08,33.19,29.96,4.33,12.48,12.19,13.31
2042,JUL,30.23,29.09,29.1,29.28,36.99,36.17,35.4,36.06,2.32,0.71,2.52,0.89
2042,AUG,28.9,28.76,28.58,27.52,35.33,35.4,34.94,33.92,3.1,1.43,2.1,3.47
2042,SEP,25.18,26.35,26.7,24.59,31.01,32.31,32.57,30.63,11.44,15.12,13.02,10.74
2042,OCT,20.35,22.66,21.38,20.29,25.22,28.09,26,25.55,46.18,28.1,67.37,25.52
2042,NOV,14.9,15.28,17.43,15.7,20.19,20.47,22.78,20.74,15.57,19.95,22.1,32.81
2042,DEC,13.28,14.8,13.23,13.8,18.6,19.82,18.41,19.49,18.97,63.85,12.74,8.85
2043,JAN,12.53,13.41,13.12,11.97,18.16,18.43,18.44,17.79,22.2,50.41,24.13,10.11
2043,FEB,15.16,14.81,14.56,13.1,21.65,20.13,20.62,18.77,6.03,17.13,11.66,28.79
2043,MAR,15.81,16.46,19.29,17.6,21.65,22.39,25.23,23.6,28.94,13.86,31.07,18.29
2043,APR,17.67,19.97,18.52,16.85,23.43,26.29,24.26,22.53,22.72,8.95,31,25.43
2043,MAY,20.93,23.35,22.64,21.31,27.08,29.39,28.49,27.23,13.62,33.43,28.39,29.91
2043,JUN,27.79,26.03,24.42,26.13,34.48,32.31,30.07,31.8,9.59,13.57,12.31,14.47
2043,JUL,29.27,30.04,30.73,29.74,35.78,36.56,37.45,36.34,2.32,2.51,0.87,3.1
2043,AUG,29.29,30.17,30.59,30.11,35.76,36.98,37.2,36.66,10.09,1.34,1.8,2.79
2043,SEP,27.42,27.54,27.83,27.33,33.28,33.83,33.89,33.01,15.02,5.54,8.37,12.58
2043,OCT,21.48,23.76,22.9,22.37,26.26,29.88,27.66,27.68,52.24,3.26,68.59,18.05
2043,NOV,17.43,17.41,16.07,17.33,22.32,23.07,21.18,22.52,39.24,12.24,11.55,41.82
2043,DEC,15.04,12.57,12.02,13.57,20.62,17.37,16.52,19.28,16.51,39.11,28.47,10.17
2044,JAN,10.85,13.28,11.99,11.14,15.48,18.35,17.51,16.35,45.45,67.97,32.2,29.56
2044,FEB,14.61,13.73,13.93,11.26,19.48,19.31,19.33,15.76,45.15,35.08,36.15,72.19
2044,MAR,15.39,14.4,16.46,14.37,20.31,19.63,22.5,19.27,71.25,41.71,20.26,76.16
2044,APR,18.92,18.52,18.96,17.73,25.16,24.3,24.82,23.28,9.74,32.02,19.77,29.98
2044,MAY,20.9,20.65,22.16,22.93,26.99,26.43,28.47,29.27,10.5,29.02,9.3,8.96
2044,JUN,26.39,23.89,24.45,26.62,32.87,29.74,30.57,33.08,9.43,12.72,7.15,9.01
2044,JUL,31.17,28.44,30.2,29.72,37.98,35.33,37.14,36.42,1.99,0.58,1.22,1.29
2044,AUG,30.79,29.39,30.22,28.44,37.25,36.36,36.97,35.31,2.94,2.52,1.75,1.09
2044,SEP,26.11,26.13,25.54,26.65,32.42,31.96,31.29,32.66,2.34,16.31,12.7,7.97
2044,OCT,20.16,22.37,22.12,21.18,25.2,27.44,26.82,25.78,20.58,30.23,47.99,103.87
2044,NOV,14.87,16.48,18.78,14.55,20.18,21.38,24.09,18.91,15.94,41.86,24.77,41.54
2044,DEC,11.94,13.51,14.59,12.16,17.05,18.73,19.79,17.23,15.91,7.88,22.73,17.26
2045,JAN,12.28,12.34,12.02,10.2,17.63,17.94,16.59,15.3,30.1,5.63,36.69,23.3
2045,FEB,12.79,12.05,14.89,13.61,18.56,16.69,20.43,18.96,3.37,84.76,20.81,29.79
2045,MAR,14.81,17.37,17.72,14.05,20.43,23.35,23.79,19.51,39.21,24.91,33.56,27.65
2045,APR,18.67,16.9,18.59,16.92,24.56,21.79,24.69,22.7,14.63,78.09,13.97,29.97
2045,MAY,24.33,23.59,23.46,21.66,30.82,29.65,29.56,27.84,8.1,14.55,11.09,9.67
2045,JUN,27.19,24.25,27.31,26.27,33.81,30.33,33.6,32.77,4.91,7.81,11.6,4.97
2045,JUL,30.19,29.86,29.84,30.17,37.13,36.84,36.44,36.83,1.01,1.09,3.2,2.06
2045,AUG,29.45,30.18,30.37,29.83,35.5,36.78,37.2,36.36,7.33,3.06,1.58,2.29
2045,SEP,25.3,26.1,27.08,25.96,30.88,32.14,33.1,31.68,13.09,12.65,9.57,21.2
2045,OCT,23.03,23.39,21.47,22.55,27.88,29.2,26.29,28.37,78.84,20.22,43.55,20.14
2045,NOV,16.13,16.36,15.68,17.5,21.14,21.33,20.62,22.93,36.89,29.34,28.18,28.98
2045,DEC,11.91,13.02,12.29,14,16.29,18.13,17.79,18.43,30.82,35.92,7.12,66.39
2046,JAN,11.46,13.09,11.43,11.59,17.24,18.31,16.62,15.85,2.5,42.96,22.56,91.61
2046,FEB,15.01,13.04,13.55,12.18,20.85,18.58,19.32,17.58,14.68,27.1,15.48,6.69
2046,MAR,16.78,16.18,14.69,17.73,21.42,21.77,20.26,23.82,86.44,36.96,23.48,8.45
2046,APR,16.08,16.17,17,16.71,20.81,21.62,22.85,21.75,79.94,30.46,34.04,71.11
2046,MAY,21.94,21.37,21.94,19.4,28.01,27.23,27.72,24.75,13.7,23.8,27.05,29.1
2046,JUN,25.72,27.2,26.36,25.47,31.94,33.57,32.5,31.77,3.98,11.16,21.92,7.97
2046,JUL,29.38,30.47,30.83,29.6,36.63,37.03,37.24,36.38,0.44,2.46,3.37,1.1
2046,AUG,30.11,29.87,29.48,29.88,36.77,36.54,36.04,36.41,1.42,1.59,3.32,2.25
2046,SEP,25.63,27.33,25.5,25.78,31.15,33.51,30.92,31.37,24.76,8.3,16.06,23.26
2046,OCT,21.41,20.69,21.67,24.03,26.17,25.58,26.64,29.42,74.97,47.21,48.4,25.34
2046,NOV,15.82,14.52,17.09,16.92,20.98,19,22.44,22.08,7.52,62.85,14.82,27.4
2046,DEC,13.85,11.14,12.98,13.82,19.18,15.72,18.29,19.82,33.16,54.34,18.1,1.3
2047,JAN,11.9,10.81,13.82,12.82,16.67,15.5,18.49,18.8,46.68,33.79,80.42,15.96
2047,FEB,11.78,13.91,14.35,13.99,17.16,19.71,19.95,19.02,14.53,8.6,15.78,28.29
2047,MAR,15.96,17.83,17.51,15.57,22.03,23.14,23.52,20.16,3.78,46.65,10.49,101.48
2047,APR,19.16,18.1,21.49,21.13,25.33,23.41,27.53,27.71,14.89,58.69,22.32,9.2
2047,MAY,22.79,22.49,20.8,21.8,29.2,28.55,26.37,27.83,5.41,9.94,39.53,17.55
2047,JUN,28.09,25.54,26.09,23.61,34.8,31.85,32.02,29.87,5.86,4.13,8.05,4.96
2047,JUL,28.65,29.51,30.5,30.05,35.04,36.13,37.05,37.05,1.93,2.54,3.15,1.61
2047,AUG,30.09,30.26,30.59,28.95,36.61,37.06,37.38,35.51,4.08,1.23,2.21,2.92
2047,SEP,25.86,27.36,27.69,25.6,31.99,33.14,33.72,31,4.72,14.94,4.24,30.6
2047,OCT,21.31,24.24,20.73,21.59,26.55,29.73,26.08,26.42,27.76,34.25,15,50.78
2047,NOV,16.91,15.15,16.96,19.27,22.28,19.7,22.85,25.29,12.18,49.2,3.59,2.55
2047,DEC,13.18,11.29,13.01,12.49,18.08,16.24,18.83,18.04,39.57,13.97,12.56,10.08
2048,JAN,13.08,12.03,11.24,12.41,18.58,17.97,16.29,17.84,12.87,2.71,24.07,25.83
2048,FEB,14.09,13.46,11.65,13,19.58,19.23,16.4,18.03,33.66,43.63,60.5,36.07
2048,MAR,16.24,13.73,14.19,16.41,21.48,19,18.87,21.59,35.49,40.35,118.92,52.55
2048,APR,20.29,17.23,19.32,18.96,25.96,22.83,25.1,24.62,32.76,30.67,21.25,34.85
2048,MAY,26.03,19.74,22.68,25.43,32.59,25.16,28.95,31.76,14.57,36.9,10.45,14.06
2048,JUN,28.71,26.54,26.14,27.77,35.09,32.77,31.83,34.05,5.62,15.64,31.38,5.27
2048,JUL,29.27,28.43,29.67,30.92,36.17,35.35,36.24,37.75,0.52,0.42,4.18,1.63
2048,AUG,29.74,29.48,29.79,30.62,36.24,36.09,36.11,37.07,2.55,2.38,3.45,4.13
2048,SEP,26.02,26.96,24.79,28.48,32.04,32.87,30.44,34.62,10.58,13.21,25.86,9.03
2048,OCT,20.64,22.49,21.02,23.39,26.39,28.3,26.21,28.36,9.92,7.84,22.18,33.01
2048,NOV,18.37,16.25,17.29,16,23.94,21.4,22.58,20.25,19.72,35.64,37.85,70.72
2048,DEC,12.24,12.64,13.54,12.8,16.59,17.91,19.02,18.27,50.47,9.99,21.72,21.71
2049,JAN,11.44,11.65,11.42,11.8,15.96,17.42,16.64,17.14,61.01,10.96,21.98,21.16
2049,FEB,13.31,13.98,13.33,15.07,18.13,19.57,19.09,20.5,87.03,36.43,18.51,44.64
2049,MAR,16.61,18.84,17.7,16.46,22.36,24.71,23.89,21.8,21.38,38.71,15.64,33.67
2049,APR,17.55,20.57,20.2,19.74,22.91,26.01,26.51,25.16,48.52,42.42,11.18,43.99
2049,MAY,21.61,22.44,21.02,22.48,27.74,28.14,26.94,28.58,11.18,18.94,14.66,8.56
2049,JUN,26.87,27.83,26.23,28.43,33.39,34.17,32.61,34.62,3.54,15.27,5.91,12.99
2049,JUL,30.14,30.25,30.71,30.65,37.06,36.84,37.68,37.5,1.15,2.73,1.73,1.23
2049,AUG,30.33,30.69,28.59,30.26,37.05,37.14,35.21,36.94,2.34,2.96,2.12,2.11
2049,SEP,25.7,26.79,26.45,26.03,31.17,32.65,32.29,32.03,16.74,8.81,9.02,6.18
2049,OCT,20.98,24.33,22.04,23.59,25.75,30.02,27.81,29.44,54.33,14.62,24.39,16.1
2049,NOV,17.51,18.96,18.29,16.14,22.3,24.58,23.51,21.45,32.04,15.4,23.35,27.44
2049,DEC,13.37,13.43,12.4,12.77,18.08,18.61,17.79,17.8,64.18,16.88,4.87,15.46
2050,JAN,12.59,12.76,10.6,12.75,17.79,18.1,16.43,18.2,16.97,42.39,3.97,35.83
2050,FEB,15.31,13.14,12.36,15.34,20.9,18.47,17.64,21.65,23.39,14.46,32.72,5.52
2050,MAR,17.36,15.23,14.92,17.67,22.68,21.07,20.96,24.39,71.44,25.49,23.6,6.32
2050,APR,16,18.29,19.64,16.05,21.18,24.38,25.66,21.51,50.96,16.34,23.03,45.45
2050,MAY,21.07,21.48,20.44,22.58,26.82,27.63,26.3,28.83,12.74,11.84,21.74,16.68
2050,JUN,25.78,24.84,26.12,25.38,32.1,30.95,32.77,31.41,2.96,7.22,4.69,20.53
2050,JUL,29.97,30.01,29.63,28.54,36.69,37.16,36.71,35.44,0.92,0.9,0.72,0.59
2050,AUG,29.97,29.72,29.85,29.84,37,36.64,36.71,36.51,0.67,2.54,1.97,2.01
2050,SEP,27.33,25.93,26.2,26.47,33.79,31.27,32.2,32.61,3.23,34.5,14.86,6.58
2050,OCT,21.25,22.74,23.45,21.17,26.45,27.75,28.84,26.85,53.75,26.61,20.42,14.26
