,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,4.4,4.8,4.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.23%,0.07%,0.2820%,0.00%,0.00%,0.00%,0.00%,0.00%,10.0,3.4,8.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.1,0.0,0.0,0.0,0.0,6.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,6.9,82.46%,9.2,8.3,x,x,x,x,x,x,x,x,x,x,x,x,8.3,6.8,74.0%,7.4,7.1,6.1,24.61%,2.7,4.6,6.6,54.74%,5.5,6.1,6.8,74.39%,7.4,7.1,6.3,2.5,0.1,0.7,1.1,4.4,4.3,4.4,6.5,4.9,3.6,5.0,0.8,4.2,0.0,0.8,0.09%,1.1,4.0,2.6,2.5,5.7,2.9,0.1,0.0,0.1,,
Bolivia,BOL,7.6,6.8,7.2,5.5,0.0,0.0,0.0,0.0,0.0,10.0,0.19%,0.03%,0.2848%,0.00%,0.00%,0.00%,0.00%,0.80%,9.4,1.4,7.0,5.4,0.0,0.0,0.0,0.0,0.0,2.7,9.5,8.5,4.1,0.0,0.0,0.0,8.1,7.1,5.5,0.0,0.0,0.0,8.8,4.2,6.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.2,45.4%,4.5,6.7,8.0,33.21%,3.7,6.3,8.2,43.47%,4.3,6.7,8.1,39.19%,3.9,6.5,6.6,3.5,1.0,7.3,3.9,3.5,3.7,7.1,3.8,4.5,4.3,5.2,3.4,4.5,2.9,3.7,0.07%,3.0,8.0,5.5,4.6,5.3,4.1,0.5,0.0,0.3,,
Bosnia and Herzegovina,BIH,6.0,0.1,3.6,4.9,0.0,0.0,0.0,0.0,0.0,5.6,0.21%,0.00%,0.6264%,0.00%,0.00%,0.00%,0.00%,0.06%,10.0,0.0,7.6,6.7,0.6,0.0,0.0,0.0,0.0,0.2,1.9,8.0,0.1,0.0,0.0,0.0,3.4,6.0,5.9,0.3,0.0,0.0,2.7,3.3,3.0,3.2,0.05%,0.0,1.7,x,x,x,x,x,x,x,x,x,x,x,x,1.7,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,5.5,2.25%,0.2,3.3,0.9,0.5,0.7,x,0.6,6.0,0.3,5.0,3.8,3.8,2.7,0.0,0.0,2.5,0.0,0.4,0.01%,9.1,x,9.1,4.0,2.4,2.9,0.1,0.0,0.1,,
Botswana,BWA,0.1,0.1,0.1,3.1,0.0,0.0,0.0,0.0,0.0,6.7,0.00%,0.00%,0.1261%,0.00%,0.00%,0.00%,0.00%,0.18%,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6,3.8,0.1,0.1,0.0,0.0,0.0,4.3,0.1,3.6,0.0,0.0,0.0,4.1,7.5,5.8,4.2,0.33%,0.0,2.3,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.6,7.5,66.3%,6.6,7.1,6.2,8.71%,1.0,4.1,7.7,84.89%,8.5,8.1,5.0,1.24%,0.1,2.9,6.0,2.2,1.2,x,1.7,2.2,5.2,7.3,3.8,4.6,3.6,4.4,4.5,4.6,1.7,1.7,0.02%,7.7,6.0,6.9,4.4,3.9,2.2,0.1,0.0,0.1,,
Brazil,BRA,2.0,0.0,1.0,8.8,0.0,0.0,0.0,0.0,6.9,10.0,0.00%,0.00%,0.4357%,0.00%,0.00%,0.00%,0.01%,0.57%,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,2.2,1.9,10.0,1.0,0.0,0.0,0.0,0.0,7.9,0.5,7.7,0.0,0.0,5.0,9.0,0.0,4.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.5,20.3%,2.0,7.3,10.0,58.26%,6.5,8.8,10.0,82.58%,8.3,9.3,10.0,84.55%,8.5,9.4,8.8,1.0,0.1,x,0.6,4.7,1.6,8.8,3.3,4.6,3.3,1.7,0.8,3.5,0.0,0.4,0.01%,9.2,0.0,4.6,2.8,5.8,4.0,10.0,9.7,9.9,,
Brunei Darussalam,BRN,0.1,0.1,0.1,2.7,0.1,0.0,0.0,0.0,2.3,0.0,0.00%,0.00%,0.5077%,0.00%,0.00%,0.00%,0.04%,0.00%,0.0,0.0,0.0,6.4,3.4,0.0,0.0,0.0,4.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,4.8,1.9,0.0,3.3,0.0,5.0,2.5,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,6.5,83.57%,9.3,8.2,6.6,95.86%,9.6,8.5,6.6,91.67%,9.2,8.2,7.2,0.1,0.0,x,0.1,6.4,2.3,7.9,x,5.5,3.7,2.4,1.2,4.0,0.0,0.0,0.01%,8.7,x,8.7,4.2,4.2,2.6,0.0,0.0,0.0,,
Bulgaria,BGR,6.9,0.1,4.3,4.8,0.0,0.0,0.0,0.0,3.5,0.0,0.20%,0.00%,0.2790%,0.00%,0.00%,0.00%,0.01%,0.00%,10.0,0.0,7.6,5.4,0.0,0.0,0.0,0.0,2.3,0.0,1.0,8.5,0.1,0.0,0.0,0.0,0.0,6.2,5.1,0.0,0.0,2.9,0.5,5.8,3.2,8.2,87.75%,9.7,9.1,x,x,x,x,x,x,x,x,x,x,x,x,9.1,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,1.5,0.2,x,0.9,6.0,0.0,7.7,0.8,3.6,2.7,0.0,0.0,2.4,0.0,0.6,0.04%,6.1,2.0,4.1,2.4,4.8,3.5,0.1,0.0,0.1,,
Burkina Faso,BFA,0.1,0.1,0.1,3.4,0.0,0.0,0.0,0.0,0.0,10.0,0.00%,0.00%,0.0185%,0.00%,0.00%,0.00%,0.00%,1.91%,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,6.4,7.6,0.1,0.1,0.0,0.0,0.0,8.8,0.1,2.2,0.0,0.0,0.0,8.2,4.2,6.2,8.6,46.20%,5.1,7.2,0.0,0.00%,0.0,0.0,8.3,3.77%,3.8,6.6,0.0,0.00%,0.0,0.0,4.3,9.1,100.0%,10.0,9.6,8.1,18.56%,2.1,5.9,9.1,99.39%,9.9,9.6,9.1,95.20%,9.5,9.3,9.0,8.4,8.4,9.1,8.6,6.4,9.0,3.3,9.8,7.1,7.6,9.8,6.2,7.4,10.0,9.0,0.01%,9.1,4.0,6.6,7.7,7.5,3.0,10.0,10.0,10.0,,
Burundi,BDI,7.3,0.1,4.6,3.4,0.0,0.0,0.0,0.0,0.0,9.9,0.14%,0.00%,0.0311%,0.00%,0.00%,0.00%,0.00%,0.64%,7.1,0.0,4.4,1.7,0.0,0.0,0.0,0.0,0.0,2.1,5.7,7.2,0.1,0.0,0.0,0.0,7.8,4.5,2.6,0.0,0.0,0.0,6.8,0.8,3.8,8.1,32.42%,3.6,6.4,7.5,2.27%,4.5,6.2,0.0,0.00%,0.0,0.0,8.9,15.49%,8.4,8.7,6.1,8.8,100.0%,10.0,9.5,8.6,71.17%,7.9,8.3,8.3,50.79%,5.1,7.0,8.0,30.66%,3.1,6.1,8.0,6.0,6.3,9.4,7.2,9.0,10.0,1.5,7.1,6.9,7.0,4.1,7.0,6.5,0.5,5.6,0.01%,8.6,6.0,7.3,6.5,7.0,3.0,7.0,6.0,6.5,,
Cabo Verde,CPV,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.00%,0.00%,0.0000%,0.00%,0.00%,0.00%,0.00%,0.74%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.8,0.1,0.1,0.0,0.0,0.0,4.9,0.1,0.0,0.0,0.0,0.0,4.9,x,4.9,6.1,32.91%,3.7,5.0,x,x,x,x,x,x,x,x,x,x,x,x,5.0,6.0,26.0%,2.6,4.5,0.0,0.00%,0.0,0.0,6.7,77.20%,7.7,7.2,6.7,81.59%,8.2,7.5,5.4,1.9,1.7,x,1.8,7.2,3.1,6.8,x,5.7,4.4,5.2,1.2,4.7,2.8,2.1,0.01%,9.2,2.0,5.6,4.1,4.7,1.7,0.1,0.0,0.1,,
Cambodia,KHM,0.1,0.1,0.1,8.1,3.0,5.6,0.0,3.3,4.7,10.0,0.00%,0.00%,2.7199%,0.00%,0.08%,0.00%,0.01%,1.51%,0.0,0.0,0.0,9.2,2.6,0.1,0.0,0.1,2.7,5.0,4.8,0.1,0.1,2.9,0.0,1.6,8.5,0.1,8.7,2.8,1.8,3.8,6.7,1.7,4.2,8.2,34.59%,3.8,6.5,x,x,x,x,x,x,x,x,x,x,x,x,6.5,8.7,71.1%,7.1,8.0,8.5,56.21%,6.2,7.5,8.9,97.34%,9.7,9.3,8.9,99.25%,9.9,9.5,8.7,2.6,3.7,1.7,2.7,6.6,5.7,2.6,6.5,5.4,4.5,4.7,3.5,4.9,4.0,3.0,0.08%,2.5,4.0,3.3,3.7,6.3,4.6,0.5,0.0,0.3,,
Cameroon,CMR,0.1,0.1,0.1,6.9,0.0,0.0,0.0,0.0,3.9,9.7,0.00%,0.00%,0.5025%,0.00%,0.00%,0.00%,0.00%,0.25%,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,1.0,0.8,4.8,0.1,0.1,0.0,0.0,0.0,7.3,0.1,6.7,0.0,0.0,2.6,6.1,1.7,3.9,8.7,42.83%,4.8,7.2,9.1,9.77%,10.0,9.6,8.8,6.50%,6.5,7.8,9.6,18.95%,8.6,9.2,8.6,9.2,100.0%,10.0,9.7,8.9,60.97%,6.8,8.0,9.2,93.33%,9.3,9.3,9.2,96.99%,9.7,9.5,9.2,6.3,5.1,6.3,5.9,5.9,7.2,5.9,7.5,6.6,6.4,3.6,6.8,6.2,1.4,4.8,0.02%,8.2,6.0,7.1,6.0,7.8,3.7,9.9,8.0,9.2,,
Canada,CAN,7.6,5.7,6.8,7.4,6.2,6.7,0.0,4.1,6.6,0.0,0.06%,0.00%,0.6275%,0.00%,0.11%,0.00%,0.04%,0.00%,3.1,0.2,1.8,6.7,5.2,0.1,0.0,0.1,4.0,0.0,0.0,5.4,3.0,3.4,0.0,1.9,0.0,4.8,7.1,5.7,2.3,5.4,0.0,4.2,2.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.2,0.1,x,0.2,2.1,6.1,8.2,1.1,4.4,3.0,0.1,0.0,2.9,0.0,0.1,0.04%,6.0,0.0,3.0,2.0,1.7,4.4,0.1,0.0,0.1,,
Central African Republic,CAF,0.1,0.1,0.1,5.4,0.0,0.0,0.0,0.0,0.0,9.5,0.00%,0.00%,0.5595%,0.00%,0.00%,0.00%,0.00%,1.07%,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,3.6,1.0,0.1,0.1,0.0,0.0,0.0,7.6,0.1,6.0,0.0,0.0,0.0,4.3,1.7,3.0,7.5,31.45%,3.5,5.9,8.3,17.26%,10.0,9.3,4.1,0.05%,0.0,2.3,8.4,19.03%,8.6,8.5,7.3,8.2,100.0%,10.0,9.3,8.2,97.50%,10.0,9.3,8.2,100.00%,10.0,9.3,8.2,100.33%,10.0,9.3,9.3,9.6,10.0,7.8,9.1,3.1,8.0,4.4,9.0,6.1,7.1,7.7,9.0,6.9,8.3,8.9,0.00%,9.6,x,9.6,8.5,8.2,3.3,9.8,7.5,8.9,,
Chad,TCD,0.1,0.1,0.1,7.7,0.0,0.0,0.0,0.0,0.0,10.0,0.00%,0.00%,1.7232%,0.00%,0.00%,0.00%,0.00%,1.44%,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,4.8,6.7,0.1,0.1,0.0,0.0,0.0,8.5,0.1,8.1,0.0,0.0,0.0,7.6,4.2,5.9,8.4,37.21%,4.1,6.8,0.0,0.00%,0.0,0.0,4.6,0.03%,0.0,2.6,0.0,0.00%,0.0,0.0,2.9,9.0,98.9%,9.9,9.5,7.5,9.43%,1.0,5.1,8.9,97.30%,9.7,9.3,8.8,81.83%,8.2,8.5,8.5,9.7,8.0,7.4,8.4,3.8,8.7,2.4,9.9,6.2,6.9,9.1,8.8,7.1,10.0,8.8,0.00%,9.9,8.0,9.0,8.3,7.1,4.0,9.6,5.9,8.3,,
Chile,CHL,8.3,9.6,9.1,5.8,8.5,0.0,0.0,0.0,3.8,0.0,0.21%,0.20%,0.2565%,0.00%,0.00%,0.00%,0.00%,0.00%,10.0,10.0,10.0,5.2,8.6,0.0,0.0,0.0,1.4,0.0,1.0,9.2,9.8,0.0,0.0,0.0,0.0,9.6,5.5,8.6,0.0,2.7,0.5,0.0,0.3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,6.8,3.01%,0.3,4.3,2.8,0.00%,0.0,1.5,1.6,0.0,0.0,x,0.0,4.7,0.5,8.8,2.6,4.2,2.8,0.8,0.0,2.9,0.0,0.0,0.01%,9.3,0.0,4.7,2.5,2.3,5.4,0.2,0.0,0.1,,
China,CHN,10.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.06%,0.00%,1.5178%,0.00%,2.02%,0.03%,0.48%,0.92%,3.1,0.0,1.7,8.2,7.0,2.2,0.2,1.3,7.2,3.1,10.0,6.6,3.5,6.1,5.1,5.6,8.1,6.7,9.3,9.0,7.8,9.0,9.1,0.0,4.6,9.6,3.98%,0.4,7.1,x,x,x,x,x,x,x,x,x,x,x,x,7.1,0.0,0.0%,0.0,0.0,10.0,13.99%,1.6,7.9,10.0,58.10%,5.8,8.7,10.0,25.89%,2.6,8.0,7.1,0.5,0.4,0.3,0.4,7.3,2.9,6.5,x,5.6,3.9,2.9,0.0,3.9,0.0,0.3,0.08%,2.4,2.0,2.2,2.1,5.4,7.8,1.8,0.0,0.9,,
Colombia,COL,9.4,9.6,9.5,7.5,8.6,6.4,6.6,6.5,7.4,6.1,0.20%,0.08%,0.5026%,0.00%,0.06%,0.00%,0.06%,0.01%,9.8,3.9,8.0,6.4,7.6,0.1,0.0,0.1,4.7,0.0,1.9,9.6,6.8,3.3,3.3,3.3,3.6,8.9,7.0,8.1,4.0,6.2,2.8,0.8,1.8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.7,22.1%,2.2,6.5,9.3,59.40%,6.6,8.3,9.3,61.35%,6.1,8.1,9.4,69.66%,7.0,8.5,7.9,0.6,0.4,3.0,1.3,5.6,1.6,8.2,3.8,4.8,3.6,1.1,1.1,3.6,0.8,1.2,0.06%,4.3,2.0,3.2,2.7,5.2,6.4,9.9,7.5,9.0,,
Comoros,COM,0.1,0.1,0.1,0.0,0.6,4.4,0.0,2.5,2.3,0.0,0.00%,0.00%,0.0000%,0.00%,0.49%,0.00%,0.02%,0.00%,0.0,0.0,0.0,0.0,3.2,0.5,0.0,0.3,3.4,0.0,0.0,0.1,0.1,2.5,0.0,1.3,0.0,0.1,0.0,2.0,1.5,2.9,0.0,0.0,0.0,5.7,10.87%,1.2,3.8,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.7,0.00%,0.9,0.8,1.3,7.1,100.0%,10.0,9.0,6.8,69.55%,7.7,7.3,6.8,69.48%,6.9,6.9,6.9,83.99%,8.4,7.7,7.8,7.1,3.3,x,5.2,8.8,5.4,3.0,8.4,6.4,6.0,5.4,5.5,6.1,0.2,3.5,0.00%,9.7,6.0,7.9,5.8,5.7,2.0,0.2,0.0,0.1,,
Congo,COG,0.1,0.1,0.1,6.6,0.0,0.0,0.0,0.0,2.6,0.0,0.00%,0.00%,1.6625%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,7.6,0.0,0.0,2.0,0.0,1.7,0.9,7.9,53.94%,6.0,7.1,7.8,8.15%,10.0,9.2,4.3,0.06%,0.1,2.5,7.3,3.71%,7.1,7.2,7.1,8.3,100.0%,10.0,9.3,8.2,86.89%,9.7,9.1,8.3,98.74%,9.9,9.3,8.3,98.66%,9.9,9.3,9.3,8.8,4.3,5.2,6.1,4.1,5.8,6.9,5.5,5.6,5.8,8.4,6.1,6.1,2.8,5.3,0.01%,9.5,6.0,7.8,6.4,7.4,3.4,1.2,0.0,0.6,,
Congo DR,COD,8.8,0.1,6.1,7.9,0.0,0.0,0.0,0.0,1.9,10.0,0.06%,0.00%,0.3766%,0.00%,0.00%,0.00%,0.00%,0.70%,3.0,0.0,1.6,5.9,0.0,0.0,0.0,0.0,0.0,2.3,1.0,5.9,0.1,0.0,0.0,0.0,8.0,4.2,7.0,0.0,0.0,1.0,4.5,0.0,2.3,9.5,42.22%,4.7,7.9,10.0,20.89%,10.0,10.0,0.0,0.00%,0.0,0.0,10.0,24.06%,8.8,9.5,8.3,10.0,100.0%,10.0,10.0,9.9,83.16%,9.2,9.6,9.9,86.55%,8.7,9.4,10.0,90.39%,9.0,9.6,9.7,9.3,10.0,8.1,9.1,5.4,9.0,4.7,7.9,6.8,7.6,8.7,8.7,7.4,3.9,7.8,0.00%,9.6,8.0,8.8,8.0,8.5,4.1,10.0,10.0,10.0,,
Costa Rica,CRI,6.6,8.1,7.4,2.6,7.5,4.3,0.0,2.4,4.4,0.0,0.21%,0.21%,0.0397%,0.00%,0.08%,0.00%,0.03%,0.00%,10.0,10.0,10.0,2.1,8.9,0.1,0.0,0.1,3.8,0.0,3.8,8.3,9.1,2.2,0.0,1.2,0.0,9.1,2.4,8.3,1.3,4.1,1.9,0.0,1.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.5,35.0%,3.5,5.9,8.0,73.10%,8.1,8.1,7.4,27.60%,2.8,5.6,8.1,88.93%,8.9,8.5,7.2,0.2,0.0,1.4,0.5,6.7,2.6,8.3,3.0,5.2,3.6,0.4,0.2,3.5,0.0,0.4,0.02%,8.5,2.0,5.3,3.1,4.9,5.3,0.1,0.0,0.1,,
Côte d'Ivoire,CIV,0.1,0.1,0.1,5.5,1.5,0.0,0.0,0.0,3.5,0.0,0.00%,0.00%,0.1179%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,3.9,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,4.8,0.9,0.0,2.1,0.0,1.7,0.9,8.5,30.34%,3.4,6.6,8.1,2.56%,5.1,6.9,10.0,56.82%,10.0,10.0,7.4,1.00%,6.0,6.8,8.0,9.2,100.0%,10.0,9.7,9.2,87.53%,9.7,9.5,9.2,90.41%,9.0,9.1,9.2,99.71%,10.0,9.7,9.5,7.0,4.5,7.8,6.4,6.5,6.8,5.3,6.4,6.3,6.3,5.4,6.3,6.1,7.1,6.6,0.00%,9.8,x,9.8,7.5,8.1,3.1,0.6,0.0,0.3,,
Croatia,HRV,6.2,0.1,3.8,5.7,5.0,0.0,0.0,0.0,5.0,0.0,0.19%,0.00%,1.1291%,0.00%,0.00%,0.00%,0.07%,0.00%,9.6,0.0,7.0,7.7,6.5,0.0,0.0,0.0,4.9,0.0,1.0,7.9,0.1,0.0,0.0,0.0,0.0,5.6,6.8,5.8,0.0,5.0,0.5,5.8,3.2,4.3,0.25%,0.0,2.4,x,x,x,x,x,x,x,x,x,x,x,x,2.4,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,1.6,0.00%,0.0,0.8,5.6,2.07%,0.2,3.4,1.2,0.4,0.1,x,0.3,6.1,1.1,5.9,2.0,3.8,2.6,0.1,0.0,2.5,0.0,0.2,0.05%,5.2,2.0,3.6,2.1,2.1,4.4,0.1,0.0,0.1,,
Cuba,CUB,6.7,6.0,6.4,1.0,3.2,9.3,9.6,9.5,6.2,8.5,0.10%,0.01%,0.0035%,0.00%,5.21%,0.81%,0.09%,0.24%,5.0,0.7,3.1,0.0,3.2,5.8,4.1,5.0,5.1,0.8,4.8,5.9,3.4,7.6,6.9,7.3,5.9,5.0,0.5,3.2,8.0,5.7,5.4,2.5,4.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,8.6,90.29%,10.0,9.4,8.6,97.34%,9.7,9.2,8.6,95.04%,9.5,9.1,8.2,0.9,0.9,0.7,0.8,6.8,0.0,7.8,1.8,4.1,3.0,1.2,0.0,2.9,0.1,0.7,0.10%,0.2,x,0.2,1.3,5.0,4.9,0.2,0.0,0.1,,
Cyprus,CYP,4.7,5.7,5.2,0.0,2.6,0.0,0.0,0.0,2.5,0.0,0.19%,0.10%,0.0000%,0.00%,0.00%,0.00%,0.02%,0.00%,9.6,5.0,8.1,0.0,5.1,0.0,0.0,0.0,3.2,0.0,1.9,7.2,5.4,0.0,0.0,0.0,0.0,6.9,0.0,4.0,0.0,2.9,1.0,4.2,2.6,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,5.2,3.18%,0.4,3.2,7.2,80.46%,8.0,7.6,4.2,0.67%,0.1,2.4,3.9,0.1,0.0,x,0.1,7.1,1.6,6.7,1.9,4.3,2.9,0.0,0.3,2.9,0.0,0.0,0.01%,9.2,0.0,4.6,2.5,2.4,3.0,0.0,0.0,0.0,,
Czech Republic,CZE,1.4,0.1,0.8,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.3523%,0.00%,0.00%,0.00%,0.00%,0.00%,0.1,0.0,0.1,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.5,5.7,0.0,0.0,0.0,0.0,2.5,1.3,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.1,0.0,x,0.1,7.1,4.2,7.5,1.0,5.0,3.4,0.0,0.0,3.3,0.0,0.0,0.04%,6.3,x,6.3,3.2,1.8,1.6,0.1,0.0,0.1,,
Denmark,DNK,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.00%,0.00%,0.0000%,0.00%,0.00%,0.00%,0.40%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.1,0.5,5.8,3.2,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,x,0.0,7.2,1.8,8.8,x,5.9,3.9,0.0,0.1,3.6,0.0,0.0,0.03%,6.7,0.0,3.4,2.3,1.7,2.2,0.1,0.0,0.1,,
